itr,N1,N2,d1,d2,freq,move_tx,move_rx,offset_tx,offset_rx,per,space1,space2,space3,space4,l1,l2,h1,w1,I1,I2,Lmt,Lmr,k,Llt,Llr,AA,AB,AC,I1,I2,AF,AG,AH,copperloss_tx,copperloss_rx
0,12,18,1.630932697,1.630389822,40004.29516,2.3091188,2.395173568,-3.434254527,-0.346880623,3500.518513,1.941803504,13.04107587,2.152941437,7.045018765,11.91797037,20.55623118,25.10531533,98.49125264,12.71396519,28.595354,20.16256874,45.3482279,0.999208012,12.73412776,28.64070223,19.08237121,147.1074172,330.8098619,4.36117 + 0i,3.17741 + 0i,0.1471074172 + 3.200779037i,0.3308098619 + 7.198966514i,0.2203912989 + 4.796437959i,1.252003808,1.616967866
1,12,18,1.630820184,1.630571345,40004.33981,2.309015248,2.398168764,-3.435278257,-0.273032437,3500.564893,2.709071427,9.259305042,1.901168775,6.834041899,8.000979063,17.93313827,25.12651417,31.85693014,3.128092194,7.034133239,5.734553696,12.89527682,0.999084637,3.133826747,7.047028516,4.69507773,36.19707343,81.35913885,4.35997 + 0i,3.17797 + 0i,36.19707343 + 787.7020197i,0.08135913885 + 1.771303599i,0.05416346919 + 1.180129761i,0.666064339,0.938779151
2,12,18,1.630843441,1.63045739,40008.74203,2.31021931,2.419495535,-1.371351953,-0.346530477,3500.524346,2.743831504,11.97062578,2.125178655,6.836952648,8.137916911,18.16935351,25.12382235,46.01952818,4.561373233,10.25916329,8.752489733,19.68556766,0.999041965,4.570125723,10.27884886,6.847310864,52.79095559,118.7044616,4.36225 + 0i,3.17799 + 0i,0.05279095559 + 1.148848899i,0.1187044616 + 2.58392108i,0.07904679074 + 1.721293028i,0.800625784,1.003859789
3,12,18,1.630901237,1.630645159,40004.33293,2.309423194,2.419103557,-3.440500437,-0.346744851,3500.563101,2.022782985,9.415859199,2.125308515,6.83647609,8.013642064,17.95826955,25.11229327,52.06511166,5.124316858,11.52358355,8.37900824,18.84274611,0.999183428,5.132695866,11.5424263,7.690711909,59.2974846,133.2932952,4.35997 + 0i,3.17814 + 0i,0.0592974846 + 1.290126906i,0.1332932952 + 2.901242371i,0.08877109517 + 1.933096099i,0.834537186,1.165713485
4,12,18,1.630905035,1.630639797,40008.87422,2.309768012,2.419309148,-3.145517075,-0.482312073,3500.576235,1.912159115,11.59755018,2.065411623,6.837011777,8.014793415,18.21089448,25.12651417,60.69929531,5.941587872,13.36226092,11.68355413,26.27558527,0.999018246,5.953271427,13.38853651,8.919033925,68.77606868,154.6310501,4.36017 + 0i,3.17805 + 0i,0.06877606868 + 1.496552247i,0.1546310501 + 3.365652759i,0.1029858975 + 2.242095027i,0.899008747,1.168669885
5,12,18,1.630841706,1.630581921,40004.29629,2.308759223,2.475528453,-3.486308857,-0.3502571,3500.587374,1.945124528,9.396631152,2.119373297,7.032508763,10.13058755,17.9428489,25.43643382,94.46357359,11.17035226,25.12244138,13.38567435,30.10476406,0.999401377,11.18373794,25.15254614,16.76194502,129.2299706,290.5505129,4.35947 + 0i,3.17773 + 0i,0.1292299706 + 2.811081813i,0.2905505129 + 6.322203312i,0.1935706369 + 4.213188744i,1.259167883,1.728151442
6,12,18,1.630896629,1.630398163,40005.29402,2.308857669,2.429795121,-2.939139739,-0.351397697,3500.530692,2.545070693,11.94844517,1.977929363,6.816545263,8.017747816,18.17517998,25.11412214,70.30047496,6.891965197,15.50065148,12.56921982,28.2693093,0.999089371,6.904534416,15.52892079,10.34527823,79.76439198,179.3533816,4.36058 + 0i,3.17816 + 0i,0.07976439198 + 1.735528436i,0.1793533816 + 3.903360021i,0.1194529945 + 2.600396125i,0.994264243,1.256677702
7,12,18,1.630896659,1.630640678,40004.14429,2.297493858,2.419812025,-3.438120689,-0.346571377,3500.557458,1.995982082,9.241849735,2.013786729,6.836575755,8.006148488,17.93811696,25.11245443,41.80797892,4.108067786,9.237803408,7.197034274,16.18395587,0.999125186,4.11526482,9.253987364,6.165712236,47.53885154,106.8532621,4.36026 + 0i,3.17813 + 0i,0.04753885154 + 1.034386017i,0.1068532621 + 2.326021665i,0.07115415555 + 1.549773052i,0.760136473,1.045896942
8,12,18,1.630900134,1.630611432,40005.88613,2.298182623,2.335489434,-2.308637633,-0.349891075,3500.569619,2.451654707,11.97190289,2.008918615,6.837541854,8.01277134,18.18335166,25.14915479,56.15811296,5.490664581,12.34932155,10.6399885,23.93091715,0.99903249,5.501304569,12.37325247,8.242413424,63.54586598,142.8945305,4.35851 + 0i,3.17809 + 0i,0.06354586598 + 1.3828321i,0.1428945305 + 3.110195132i,0.09516020162 + 2.071849271i,0.880392623,1.127267198
9,12,18,1.630880294,1.63055491,40004.2941,2.309347401,2.428633887,-3.435792902,-0.346541875,3500.564963,1.94179775,9.515270183,2.06335242,6.836009617,8.01871151,17.93007116,25.11191766,33.20523422,3.265307151,7.342397937,6.490536078,14.59467563,0.999007616,3.271797687,7.356992612,4.901310089,37.78933637,84.93498379,4.35992 + 0i,3.17739 + 0i,37.78933637 + 822.3807214i,0.08493498379 + 1.849212412i,0.05655010836 + 1.231965822i,0.677068577,0.929147423
10,12,18,1.630841903,1.630639423,40008.83151,2.298256546,2.428849332,-1.365211384,-0.345685507,3500.614179,2.28354769,9.190977022,2.019587087,7.05247547,8.006384184,18.25093905,25.12678331,87.65861569,8.580885309,19.29894652,10.62948898,23.90638401,0.999381205,8.591514798,19.32285291,12.87661387,99.28126917,223.2069686,4.36045 + 0i,3.17925 + 0i,0.09928126917 + 2.159759925i,0.2232069686 + 4.857434844i,0.1486897717 + 3.236960565i,1.150838202,1.574185178
11,12,18,1.630810042,1.630576553,40004.30187,2.308962928,2.397557192,-3.367146913,-0.40001271,3500.525774,1.907119379,10.75828828,2.127441174,7.043517766,8.00095461,17.82889672,25.15072768,79.67578002,7.840766988,17.63359486,13.41574333,30.17151039,0.999145584,7.854182731,17.66376637,11.76849507,90.73881979,204.0184777,4.35861 + 0i,3.17795 + 0i,0.09073881979 + 1.974183715i,0.2040184777 + 4.439866134i,0.1358883497 + 2.958063508i,1.059229123,1.388571499
12,12,18,1.630885932,1.630575024,40005.62436,2.36547247,2.418202874,-3.377868248,-0.346496424,3500.579239,1.941393743,13.03257733,2.062823941,7.057490659,11.91153294,19.53964642,25.43583491,94.68347662,12.36028427,27.8008117,19.33751094,43.49402399,0.999218673,12.37962178,27.84430573,18.55164505,143.0192057,321.6325323,4.36097 + 0i,3.17768 + 0i,0.1430192057 + 3.111775789i,0.3216325323 + 6.999021293i,0.2142760409 + 4.663192539i,1.232474464,1.57735306
13,12,18,1.630905071,1.630572751,40008.87814,2.298182623,2.428623657,-2.297616804,-0.353924461,3500.531661,1.943274157,9.047375188,2.0137655,6.835090781,8.021788363,17.96494016,25.14785205,35.72012893,3.508788084,7.890276936,6.100588305,13.71850623,0.999131802,3.514888673,7.903995442,5.266255313,40.60442048,91.26479761,4.36024 + 0i,3.17903 + 0i,40.60442048 + 883.5839455i,0.09126479761 + 1.986931629i,0.06077180173 + 1.323848088i,0.719443356,0.970337728
14,12,18,1.63085023,1.630566731,40004.35778,2.309438816,2.427697894,-3.345015688,-0.346120518,3500.629188,2.760105017,11.89634483,2.130039954,6.834021119,8.010529141,18.20635786,25.13179253,68.21403043,6.678170631,15.01960964,12.1469219,27.31916199,0.999091789,6.690317553,15.0469288,10.02426845,77.28596946,173.7816301,4.36176 + 0i,3.17907 + 0i,0.07728596946 + 1.681643384i,0.1737816301 + 3.782117674i,0.1157382293 + 2.519647922i,0.9521585,1.245049321
15,12,18,1.630900134,1.630611432,40005.88613,2.298182623,2.335489434,-2.308637633,-0.349891075,3500.569619,2.451654707,11.97190289,2.008918615,6.837541854,8.01277134,18.18335166,25.14915479,56.68813133,5.543703146,12.46865894,10.67586257,24.01169142,0.999038507,5.554379008,12.49267063,8.321998406,64.16085903,144.2746858,4.35851 + 0i,3.17809 + 0i,0.06416085903 + 1.396173124i,0.1442746858 + 3.140212607i,0.09607945313 + 2.091854102i,0.891309978,1.136889762
16,12,18,1.630927819,1.630571165,40004.46298,2.308385139,2.409793871,-1.172218678,-0.348485297,3500.531698,1.940158151,9.180915325,2.013727059,6.845343011,8.005391655,17.93330815,25.14742127,44.20532639,4.345797656,9.773326523,6.790835878,15.27200796,0.999219604,4.352588492,9.788598531,6.52221347,50.2820702,113.0287987,4.36155 + 0i,3.17903 + 0i,0.0502820702 + 1.094046856i,0.1130287987 + 2.460417628i,0.07527404448 + 1.639393928i,0.797797137,1.059617784
17,12,18,1.630896659,1.630640678,40004.34418,2.30941013,2.419301702,-3.438143167,-0.346571377,3500.563064,1.943275255,9.241849735,2.011507702,6.836476637,8.006148488,17.93350458,25.11245443,32.58850919,3.19989001,7.1952236,6.229230493,14.00695215,0.999028068,3.20611924,7.209230552,4.802993319,37.03082119,83.22846366,4.35992 + 0i,3.17813 + 0i,37.03082119 + 805.8731641i,0.08322846366 + 1.812074037i,0.05541146466 + 1.207254981i,0.660416485,0.917286982
18,12,18,1.630848938,1.630586699,40009.05178,2.294553572,2.394743932,-3.423371091,-0.347458948,3500.562818,2.726204403,9.493627591,1.90323308,7.028326731,8.066166649,17.93414951,25.11489757,94.13718621,9.337163586,20.99958926,12.09790712,27.20859263,0.999352793,9.349261493,21.02679785,14.011804,108.0421374,242.9097088,4.35998 + 0i,3.17797 + 0i,0.1080421374 + 2.350257428i,0.2429097088 + 5.285806571i,0.1618063657 + 3.522347347i,1.1746864,1.703912651
19,12,18,1.630896639,1.630645599,40009.16565,2.310046868,2.420805345,-2.32779202,-0.252909227,3500.51008,1.9471819,9.111458544,2.115703305,7.049583251,8.005239344,17.93515997,25.11807707,34.349699,3.37032602,7.57901984,6.061686786,13.63121673,0.999101938,3.376387707,7.592651056,5.058627226,39.00470215,87.6693832,4.36068 + 0i,3.17807 + 0i,39.00470215 + 848.7732295i,0.0876693832 + 1.908678599i,0.05837368953 + 1.271663014i,0.692892798,0.961975865
20,12,18,1.630845484,1.630616372,40004.33254,2.30381638,2.418383727,-1.296228228,-0.270630242,3500.530667,2.679876469,9.702934766,2.12974691,7.071781985,8.16792049,18.18618447,25.1353075,63.21711797,6.292482616,14.15235745,8.513058966,19.14663271,0.999324239,6.300995675,14.17150408,9.443195597,72.79602702,163.6698921,4.36079 + 0i,3.17927 + 0i,0.07279602702 + 1.583784464i,0.1636698921 + 3.562073229i,0.1090136806 + 2.373590977i,0.963288337,1.259696108
21,12,18,1.630698205,1.630553138,40004.52061,2.309284845,2.410435288,-3.373070344,-0.346530891,3500.564774,3.048026486,12.9739004,2.201599602,7.058603774,10.16455085,19.6826562,25.43847255,94.43975884,10.86972349,24.44846488,17.19756622,38.68121337,0.999209861,10.88692106,24.48714609,16.31467153,125.7666294,282.8346707,4.35954 + 0i,3.17812 + 0i,0.1257666294 + 2.736490927i,0.2828346707 + 6.15498659i,0.1884113767 + 4.100787576i,1.186072007,1.531019281
22,12,18,1.630927819,1.630571165,40004.30252,2.308991044,2.430504385,-1.192927462,-0.348485297,3500.531568,1.940590276,9.180915325,2.013727059,6.845343011,8.000947058,17.93330815,25.14742127,43.78194758,4.300190137,9.670618906,6.740099203,15.15768575,0.999217222,4.306930237,9.685776592,6.453733878,49.75314461,111.8395048,4.36155 + 0i,3.17903 + 0i,0.04975314461 + 1.082566063i,0.1118395048 + 2.434563008i,0.07448070964 + 1.622174703i,0.772990105,1.033953829
23,12,18,1.630898358,1.630642074,40004.39905,2.309423194,2.419103557,-3.440500437,-0.34510121,3500.563101,1.943275255,9.404762461,2.011889543,6.836476637,8.01435332,18.24764164,25.11229327,50.50505655,4.944400587,11.11871078,8.332974055,18.73875849,0.999158396,4.952733561,11.13744954,7.420782441,57.21566091,128.6118044,4.35997 + 0i,3.17814 + 0i,0.05721566091 + 1.244894603i,0.1286118044 + 2.799454211i,0.08565238062 + 1.865251159i,0.828320122,1.139490651
24,12,18,1.630919005,1.630566493,40005.04943,2.293848588,2.39192938,-3.374608333,-0.272968408,3500.515168,1.934381007,13.03596922,2.022023324,7.044886658,11.87304607,20.18000049,25.41721183,98.49125264,12.69707643,28.557583,20.13214334,45.28013654,0.999208155,12.71720858,28.60286314,19.05709158,146.9163767,330.3808023,4.36119 + 0i,3.17861 + 0i,0.1469163767 + 3.196586596i,0.3303808023 + 7.189591046i,0.2201064218 + 4.790174127i,1.27057028,1.612058276
25,12,18,1.630905071,1.630555751,40005.04319,2.308516461,2.428623708,-2.424829173,-0.346418879,3500.583285,1.981136485,9.047375188,2.062311415,6.835124554,10.22721358,17.96625284,25.12917234,89.85875373,10.77697565,24.23874927,11.62719543,26.15099857,0.99946099,10.78860284,24.26490027,16.17103087,124.6686414,280.2964129,4.36024 + 0i,3.17768 + 0i,0.1246686414 + 2.711813497i,0.2802964129 + 6.099203483i,0.1867445479 + 4.064735758i,1.226531433,1.702183957
26,12,18,1.630813611,1.630576712,40007.10188,2.310032269,2.398180506,-3.485485843,-0.354916171,3500.514824,1.93954436,9.347469422,2.122307601,7.10872352,8.101611467,17.8495547,25.43655354,74.24529761,7.344701008,16.51742376,10.95489987,24.63636344,0.999255064,7.355655908,16.54206012,11.02254443,84.99215085,191.0710025,4.36096 + 0i,3.17776 + 0i,0.08499215085 + 1.849006192i,0.1910710025 + 4.158211312i,0.1272692885 + 2.770759421i,1.032658374,1.436280125
27,12,18,1.630900134,1.630452443,40005.91855,2.298182623,2.404517626,-2.230476643,-0.351623631,3500.569619,1.95099563,11.96014259,2.12445215,6.838949884,8.052939351,18.23145072,25.14915479,91.19651409,8.960796289,20.15388283,15.95010277,35.87365365,0.999111193,8.976746392,20.18975649,13.45051282,103.7081365,233.1998985,4.35851 + 0i,3.17809 + 0i,0.1037081365 + 2.256436263i,0.2331998985 + 5.074990056i,0.1553348438 + 3.380982769i,1.171292498,1.437323758
28,12,18,1.630918994,1.630420538,40004.21408,2.309193415,2.418520769,-2.510004158,-0.27062092,3500.579665,1.840891717,11.83006262,2.064839061,6.852869148,9.939471311,18.09767652,25.12762673,87.37476072,10.21701709,22.97988057,15.80031384,35.53770361,0.999227661,10.2328174,23.01541827,15.33456624,118.2244061,265.8488554,4.3608 + 0i,3.17815 + 0i,0.1182244061 + 2.572058461i,0.2658488554 + 5.785014915i,0.1771014492 + 3.854402877i,1.184485251,1.500103184
29,12,18,1.630625667,1.630438949,40008.95604,2.310049059,2.420632159,-2.369664647,-0.273787572,3500.509792,2.222192643,9.204381397,2.109203746,7.049968782,8.898924094,17.94015825,25.40133272,88.96549561,9.506172845,21.38022365,11.2675315,25.34167508,0.999407883,9.517440376,21.40556533,14.26481699,109.9850474,247.2798583,4.36101 + 0i,3.17807 + 0i,0.1099850474 + 2.392529231i,0.2472798583 + 5.381009886i,0.1647319388 + 3.585942258i,1.18388111,1.609196347
30,12,18,1.630845484,1.630571345,40004.33858,2.30381638,2.418383727,-3.435546429,-0.270630242,3500.529682,3.001199734,9.256952828,2.129908431,6.834041899,8.034592854,17.96705308,25.1353075,63.21711797,6.236699949,14.02614299,8.305018219,18.67772605,0.999334846,6.245004967,14.04482072,9.359130977,72.15642118,162.2137375,4.35987 + 0i,3.17811 + 0i,0.07215642118 + 1.569711178i,0.1622137375 + 3.53023131i,0.1080375651 + 2.352461301i,0.928435298,1.344761612
31,12,18,1.630715474,1.630644872,40004.14429,2.297425763,2.419812025,-3.438120689,-0.346570362,3500.557458,1.995982082,9.241849735,2.013786729,6.836575755,8.006148488,17.96730572,25.09845303,38.22826992,3.75486699,8.443433645,6.796479492,15.28299771,0.999096204,3.761663469,8.458716643,5.635721418,43.45240396,97.66447405,4.35954 + 0i,3.17813 + 0i,43.45240396 + 945.5070969i,0.09766447405 + 2.126127625i,0.06503012686 + 1.416558031i,0.716685505,0.986907036
32,12,18,1.63089762,1.630555819,40008.89844,2.309346248,2.42851499,-1.446795248,-0.346733783,3500.564939,1.948290197,9.509014297,2.009317216,6.816639595,8.01871151,17.93550659,25.11604003,34.79226554,3.420358657,7.691724134,6.135575209,13.79772025,0.999104285,3.426494232,7.705521854,5.133775256,39.58249735,88.97141702,4.36228 + 0i,3.17981 + 0i,39.58249735 + 861.3635058i,0.08897141702 + 1.937039688i,0.05924300398 + 1.290545483i,0.718590675,0.935594577
33,12,18,1.630905071,1.630572751,40008.87814,2.298182623,2.428623657,-2.297616804,-0.353924461,3500.531661,1.943274157,9.047375188,2.0137655,6.835090781,8.014621912,17.96494016,25.14785205,36.70869762,3.609167723,8.116106255,6.160349634,13.85306975,0.99914766,3.615328072,8.129959325,5.41686134,41.76679862,93.87529526,4.36024 + 0i,3.17903 + 0i,41.76679862 + 908.8327227i,0.09387529526 + 2.043735152i,0.06251093528 + 1.361707912i,0.727777441,0.974281974
34,12,18,1.630896659,1.630552939,40004.17127,2.309361207,2.419296624,-3.433908644,-0.346615974,3500.563298,1.941481058,9.44923651,2.064683722,7.046754128,12.18056901,18.21200005,25.11229327,94.02984553,12.86290819,28.93055823,13.78965242,31.01494131,0.999464407,12.87669784,28.96157318,19.30103771,148.7921401,334.5584536,4.36069 + 0i,3.17801 + 0i,0.1487921401 + 3.23660463i,0.3345584536 + 7.279596292i,0.2229056536 + 4.851385721i,1.265333951,1.78866441
35,12,18,1.630841706,1.630573777,40008.86259,2.298545713,2.428443843,0.184338075,-0.351117688,3500.535148,3.005394274,9.306790343,2.124463348,7.035372518,8.011272198,17.9428489,25.45484023,37.20463976,3.633914935,8.172577544,5.458483104,12.27598258,0.999249798,3.639373418,8.184853527,5.453719966,42.04401922,94.51481896,4.3594 + 0i,3.17902 + 0i,42.04401922 + 914.8769631i,0.09451481896 + 2.057533833i,0.06293304618 + 1.370973018i,0.735055542,0.987866937
